abis,habis
accent,tekanan
accept,terima
accident,kecelakaan
achievement,prestasi
acra,acara
acrany,acaranya
acrnya,acaranya
action,aksi
active,aktif
activity,aktivitas
actually,sebenarnya
actualy,sebenarnya
ad,ada
ade,ada
adult,dewasa
adventure,petualangan
adventurer,petualang
advice,nasehat
after,setelah
afternun,sore
again,lagi
agency,perwakilan
agent,agen
agk,agak
agktn,angkatan
agree,setuju
agreement,persetujuan
aing,saya
aj,saja
aja,saja
ajah,saja
aje,saja
ajeh,saja
ajk,ajak
ak,saya
akeh,banyak
akhire,akhirnya
aktifkn,aktifkan
aku,saya
alhamdlh,alhamdulillah
alhamdulilah,alhamdulillah
almost,hampir
almt,alamat
alone,sendiri
alsn,alasan
also,juga
always,selalu
ama,sama
amazing,mengagumkan
ampe,sampai
amu,kamu
amuh,kamu
ancen,memang
ancur,hancur
ane,saya
anget,hangat
aple,apple
aplksi,aplikasi
aproved,diterima
aq,saya
aqoe,saya
aqu,saya
aqw,saya
arep,mau
arived,tiba
article,artikel
artine,artinya
asignment,tugas
assistance,bantuan
assistant,asisten
asyek,asyik
ats,atas
atu,satu-satu
atw,atau
automatic,otomatis
aya,ada
b,bb
,
babeh,ayah
balasanya,balasannya
bales,balas
banga,bangga
batre,baterai
bbrapa,beberapa
bbrp,beberapa
bbrpa,beberapa
bdg,bandung
beach,pantai
before,sebelum
begete,banget
bego,bodoh
belike,belikan
bengi,malam
benjol,memar
beraktifitas,beraktivitas
berjln,berjalan
berkmmpuan,berkemampuan
bersaman,bersamaan
bet,banget
beter,better
between,antara
Bgm,bagaimana
bgmn,bagaimana
bgmna,bagaimana
bgn,bangun
bgt,banget
bgtu,begitu
bhs,bahasa
bimbel,bimbingan belajar
birthday,ulang tahun
bis,habis
bjln,berjalan
bklan,bakalan
bkn,bukan
blackbery,blackberry
blg,bilang
blk,balik
blm,belum
bln,bulan
blng,bilang
blnja,belanja
blom,belum
blon,belum
bls,balas
blsanya,balasannya
blum,belum
bm,bbm
bnar,benar
bner,benar
bnr,benar
bnrn,beneran
bntr,sebentar
bntu,bantu
bnuh,bunuh
bnyk,banyak
bobonya,tidurnya
bodo,bodoh
bokap,ayah
bole,boleh
boong,bohong
boring,bosan
bpak,bapak
bpk,bapak
brangcut,berangkat
brangkt,berangkat
brenang,berenang
brg,barang
brp,berapa
brpa,berapa
brsih,bersih
bru,baru
bs,bisa
bsa,bisa
bsar,besar
bsh,basah
bsk,besok
bsok,besok
bsr,besar
bth,butuh
btuh,butuh
btul,betul
btw,ngomong ngomong
buanged,banget
buangedh,banget
buanget,banget
buktiin,buktikan
buktin,buktikan
buln,bulan
bungks,bungkus
bw,bawa
bwa,bawa
bwah,bawah
bwat,untuk
bwh,bawah
bwt,untuk
byar,bayar
byk,banyak
byr,bayar
cabe,cabai
cadas,cerdas
cah,bocah
call,telepon
can,dapat
cape,capek
,
,
,
manjain,manjakan
mantab,mantap
mantabh,mantap
mantabp,mantap
mantabs,mantap
mantaf,mantap
mantaps,mantap
mantapz,mantap
manteb,mantap
mantebp,mantap
mantemand,teman-teman
mantep,mantap
manteub,mantap
manthap,mantap
manusia2,manusia-manusia
manut,ngikut
manutd,ngikut
mao,mau
maonya,maunya
map,maaf
map2,maaf-maaf
mapin,maafkan
marah2,marah-marah
marang,kepada
maren,kemarin
married,menikah
masal,massal
masalahny,masalahnya
masalh,masalah
masama,sama-sama
masang,memasang
mash,masih
masi,masih
masing2,masing-masing
masjed,masjid
mastiin,memastikan
mastikn,memastikan
mastin,memastikan
masya,masyaAllah
MasyaAlah,masyaAllah
masyalah,masyaAllah
mateng,matang
matiin,matikan
matikn,matikan
matin,matikan
maunye,maunya
max,maksimal
maximum,maksimal
maybe,mungkin
mb,mbak
mba,mbak
mbake,mbaknya
mbaku,mbakku
mbalek,balik
mbalekno,kembalikan
mbalik,balik
mbanya,mbaknya
mbaq,mbak
mbek,sama
mbiyen,dahulu
mbk,mbak
mboten,tidak
mbrikan,memberikan
mbuat,membuat
mbwa,membawa
mcam,macam
mcetnya,macetnya
mcm,macam
mcm2,macam-macam
mdg,mending
mdh,mudah
mdh2an,mudah-mudahan
mdh2n,mudah-mudahan
mdingan,mendingan
mekah,mekkah
melakukanya,melakukannya
melangar,melanggar
melu,ikut
memasukan,memasukkan
membalikan,membalikkan
membiarkanya,membiarkannya
membutuhkn,membutuhkan
memgumpulkan,mengumpulkan
memikirkanya,memikirkannya
memperingatai,memperingati
mempermslhin,mempermasalahkan
mempertangungjawabkanya,mempertanggungjawabkannya
memprduksi,memproduksi
mempromosika,mempromosikan
menaklukan,menaklukkan
menakotkan,menakutkan
menangapi,menanggapi
menangungnya,menanggungnya
mendonlot,mengunduh
mendownload,mengunduh
mendpat,mendapat
mendptkan,mendapatkan
meneng,diam
mengabulkanya,mengabulkannya
mengagalkan,menggagalkan
mengalahkn,mengalahkan
mengambar,menggambar
mengambarkan,menggambarkan
mengandeng,menggandeng
mengangap,menganggap
mengangu,mengganggu
menganguk,mengangguk
menganti,mengganti
mengantung,menggantung
mengasikan,mengasyikkan
mengasyikan,mengasyikkan
mengatakn,mengatakan
mengelar,menggelar
mengeliat,menggeliat
mengelinding,menggelinding
mengelitik,menggelitik
mengembirakan,menggembirakan
mengen2in,membuat kepingin
mengeringkanya,mengeringkannya
menggunakn,menggunakan
menggunkan,menggunakan
menggunkn,menggunakan
mengirimkn,mengirimkan
mengktfka,mengaktifkan
mengoda,menggoda
mengugah,menggugah
mengunakan,menggunakan
mengunakn,menggunakan
menguncang,mengguncang
mengunkan,menggunakan
mengunkn,menggunakan
menheningkan,mengheningkan
menhub,menteri perhubungan
meningal,meninggal
meningalkan,meninggalkan
meningalnya,meninggalnya
menungang,menunggang
menungu,menunggu
menungumu,menunggumu
menunjukan,menunjukkan
menyengol,menyenggol
merayakanya,merayakannya
merit,menikah
mesinya,mesinnya
mesjid,masjid
met,selamat
mewah2,mewah-mewah
meweg,mau nangis
mewek,mau nangis
mgalami,mengalami
mggelar,menggelar
mggu,minggu
mghntarkan,menghantarkan
mgkin,mungkin
mgkn,mungkin
mgkt,berangkat
mgok,mogok
mhn,mohon
mhon,mohon
mhsiswamu,mahasiswamu
mi apah,demi apa
miapa,demi apa
miapah,demi apa
miapeh,demi apa
mikir,berfikir
mikir2,berfikir-fikir
mikiran,suka berfikir
mikiri,memikirkan
mikirin,memikirkan
mikirkeun,memikirkan
mikirny,berfikirnya
mikirnya,berfikirnya
milikny,miliknya
miliku,milikku
mingir,minggir
mingu,minggu
mingu2,minggu-minggu
minguan,mingguan
mingunya,minggunya
mingux,minggunya
mint,minta
mintain,mintakan
misalny,misalnya
mjd,menjadi
mka,maka
mkan,makan
mkanya,makanya
mkasih,terimakasih
mkmur,makmur
mkn,makan
mknan,makanan
mknya,makanya
mks,terimakasih
mksd,maksud
mksdnya,maksudnya
mksh,terimakasih
mksi,terimakasih
mksih,terimakasih
mksimal,maksimal
mksod,maksud
mksud,maksud
mksudny,maksudnya
mksudnya,maksudnya
mlah,malah
mlai,mulai
mlaku,jalan
mlaku2,jalan-jalan
mlakukan,melakukan
mlakune,jalannya
mlam,malam
mlaz,malas
mlebu,masuk
mledug,meledak
mleduk,meledak
mlem,malam
mlepas,melepas
mles,malas
mlggr,melanggar
mlgr,melanggar]
mlh,malah
mlihat,melihat
mlintas,melintas
mlkukan,melakukan
mlm,malam
mlm2,malam-malam
mlmnya,malamnya
mls,malas
mlulu,melulu
mmbahana,membahana
mmbawaku,membawaku
mmbedakan,membedakan
mmbeli,membeli
mmbhyakn,membahayakan
mmbrikan,memberikan
mmbuat,membuat
mmbutuhkan,membutuhkan
mmg,memang
mmiliki,memiliki
mmperkuat,memperkuat
mmperpanjang,memperpanjang
mmpi,mimpi
mmpr,mampir
mmprlihatkn,memperlihatkan
mmprsiapkn,mempersiapkan
mmpu,mampu
mmpus,mampus
mn,mana
mna,mana
mnang,menang
mnangkan,menangkan
mnara,menara
mnarik,menarik
mncapai,mencapai
mncari,mencari
mncri,mencari
mndadak,mendadak
mndapatkn,mendapatkan
mndat,mandat
mnding,mending
mndingan,mendingan
mndok,mondok
mndonkrak,mendongkrak
mndptkan,mendapatkan
mndukung,mendukung
mndukungnya,mendukungnya
mndung,mendung
mne,mana
mnfaat,manfaat
mngalami,mengalami
mngalir,mengalir
mngeluarkan,mengeluarkan
mngenang,mengenang
mngendarai,mengendarai
mngerti,mengerti
mnggl,manggil
mnggu,minggu
mngguan,mingguan
mnggunakan,menggunakan
mnggunkn,menggunakan
mnghadap,menghadap
mnghamili,menghamili
mngharap,mengharap
mngheningkan,mengheningkan
mngis,manggis
mngkel,kesal
mngkin,mungkin
mngkn,mungkin
mngkne,makanya
mngkonyo,makanya
mngnai,mengenai
mngsudnye,maksudnya
mngu,minggu
mnguan,mingguan
mngunakan,menggunakan
mngunkn,menggunakan
mnikah,menikah
mnikmti,menikmati
mnis,manis
mnitikberatkan,menitikberatkan
mnjadi,menjadi
mnjd,menjadi
mnjdi,menjadi
mnjem,meminjam
mnjunjung,menjunjung
mnjwab,menjawab
mnnti,menanti
mnrt,menurut
mnt,minta
mnta,minta
mntain,mintakan
mntannya,mantannya
mntanya,mantannya
mntap,mantap
mnti,menanti
mnual,manual
mnuggu,menunggu
mnugu,menunggu
mnuju,menuju
mnum,minum
mnungGu,menunggu
mnungu,menunggu
mnunjukan,menunjukkan
mnunjukkan,menunjukkan
mnurut,menurut
mnurutmu,menurutmu
mnusia,manusia
mnyamar,menyamar
mnyusul,menyusul
mo,mau
modifan,hasil modifikasi
modification,modifikasi
modified,dimodifikasi
modifikasiin,modifikasikan
modifikasin,modifikasikan
moh,tidak mau
momendnya,momennya
moment,momen
moments,momen
momenya,momennya
monasny,monasnya
monday,senin
Mondays,senin
money,uang
monkey,monyet
month,bulan
monyetna,monyetnya
morning,pagi
mornings,pagi
moro,datang
moro2,datang-datang
morosotkeun,memerosotkan
mother,ibu
motoin,mengambil foto
motone,cara mengambil fotonya
motor2,motor-motor
motr,motor
mpe,sampai
mpek,sampai
mpempek,pempek
mperkuat,memperkuat
mperpanjang,memperpanjang
mpun,sudah
mpunya,punya
mrah,marah
mrah2,marah-marah
mrantau,merantau
mrasa,merasa
mrasakany,merasakannya
mrek,mereka
mreka,mereka
mrh,marah
mrhn,marahan
mri,mari
mridnya,muridnya
mriki,kesini
mrinding,merinding
mrip,mirip
mrk,mereka
mrka,mereka
mrono,kesana
mrp,merupakan
mrpti,merpati
mrupakn,merupakan
msak,masak
msalah,masalah
msg,masing
msg2,masing-masing
msh,masih
msih,masih
msing2,masing-masing
msjid,masjid
mski,meski
mskipun,meskipun
mslah,masalah
mslahnya,masalahnya
mslh,masalah
mslhnye,masalahnya
msng,masing
msog,masak
msohan,musuhan
msok,masak
mst,mesti
msti,mesti
msuk,masuk
msukin,masukkan
msuknya,masuknya
mtor,motor
mtor2,motor-motor
mtore,motornya
mtornya,motornya
mtr,motor
mudah2an,mudah-mudahan
mugi,semoga
mugi2,moga-moga
mukax,mukanya
mulay,mulai
muluk2,berlebihan
mumpng,mumpung
mungah,naik
music,musik
musim2,musim-musim
musium,museum
mustinya,mestinya
muter,berputar
muter2,berputar-putar
mw,mau
mwah,mewah
myname,namaku
mz,mas
nabrak,menabrak
naek,naik
nais,nice
naitu,nah itu
nama2,nama-nama
namany,namanya
namanye,namanya
nambah,bertambah
nambah2,nambah-nambah
name,nama
named,dinamai
names,nama
nanganin,menangani
nanges,nangis
nanya,bertanya
nanyain,menanyakan
naon,apa
napa,kenapa
napah,kenapa
nape,kenapa
narcis,narsis
nari,menari
naro,naruh
nasgor,nasi goreng
nasgornya,nasi gorengnya
navigation,navigasi
ndadak,mendadak
ndak,tidak
ndakpapa,tidak apa-apa
ndang,buruan
ndek,sejak
ndelik,bersembunyi
ndelok,melihat
ndengkur,mendengkur
ndi,mana
ndk,tidak
ndodok,jongkok
nduwe,punya
nebelin,menebalkan
need,butuh
needed,dibutuhkan
needs,kebutuhan
negative,negatif
negra,negara
negri,negeri
neh,nih
nelepon,menelpon
nelfon,menelpon
nelor,bertelur
nelp,menelpon
nelpon,menelpon
nelv,menelpon
nelvon,menelpon
nemanin,menemani
nembak,menembak
nembaknya,menembaknya
nembaknye,menembaknya
nembus,menembus
nemen,banget
nemenin,menemani
nemu,menemukan
nemuin,menemui
nemuinnya,menemuinya
nemuinya,menemuinya
nemunya,menemukannya
nenangin,menenangkan
nendang,menendang
nenek2,nenek-nenek
nengheningkan,mengheningkan
nengkene,disini
nengkono,disana
nengok,menengok
nengokin,menengoki
nenteng,membawa
nenteng2,membawa
nepatin,menepati
nerusin,meneruskan
netter,pengguna internet
network,jaringan
never,tidak pernah
nevermind,tidak usah dipikirkan
news,berita
ngabadiin,mengabadikan
ngabadin,mengabadikan
ngabarin,mengabari
ngabisin,menghabiskan
ngabohong,berbohong
ngabolang,berpetualang
ngaca,berkaca
ngacir,kabur
ngadain,mengadakan
ngadem,berteduh
ngademin,meneduhkan
ngadep,menghadap
ngadirin,menghadiri
ngadu,mengadu
ngagetin,mengagetkan
ngajak2,ngajak-ngajak
ngajakgue,mengajak saya
ngajakinya,mengajaknya
ngajari,mengajari
ngajarin,mengajari
ngak,tidak
ngakak,tertawa
ngakuin,mengakui
ngalah,mengalah
ngalahin,mengalahkan
ngalihin,mengalihkan
ngalir,mengalir
ngambang,mengambang
ngambil,mengambil
ngambilin,mengambilkan
ngambilnya,mengambilnya
ngampus,pergi ke kampus
ngamuk2,mengamuk-ngamuk
ngancani,menemani
ngancurin,menghancurkan
ngandeng,menggandeng
ngangap,menganggap
ngangenin,membuat kangen
ngangge,menggunakan
nganggo,menggunakan
ngangguk,mengangguk
ngangur,menganggur
nganjel,mengganjal
nganter,mengantar
nganterin,mengantarkan
nganti,sampai
ngantongi,mengantongi
ngantongin,mengantongi
ngantor,pergi ke kantor
ngantre,mengantri
ngantri,mengantri
ngantrinya,mengantrinya
ngantuks,mengantuk
ngapa2in,ngapa-ngapain
ngapal,menghafal
ngapalin,menghafalkan
ngape,ngapain
ngapo,ngapain
ngapusi,berbohong
ngara,negara
ngarah,mengarah
ngarang,mengarang
ngaranye,negaranya
ngarap,mengerjakan
ngarep,berharap
ngarepane,harapannya
ngarepin,mengharapkan
ngaret,telat
ngarti,mengerti
ngaruh,berpengaruh
ngash,memberi
ngasi,memberi
ngasih,memberi
ngasih2,memberi
ngasihnya,memberinya
ngaso,istirahat
ngasuh,mengasuh
ngatain,mengatakan
ngatasi,mengatasi
ngatasin,mengatasi
ngatur,mengatur
ngawasin,mengawasi
ngawe,membuat
ngawur,ngasal
ngawur2an,ngasal-asalan
ngayal,mengkhayal
ngayalnye,mengkhayalnya
ngbikin,membuat
ngbom,mengebom
ngbrol,mengobrol
ngbuka,membuka
ngdate,berkencan
ngebalikin,mengembalikan
ngebalikinnya,mengembalikannya
ngebalikinya,mengembalikannya
ngeband,main band
ngebangain,membanggakan
ngebanggain,membanggakan
ngebangun,membangun
ngebantai,membantai
ngebanyol,membanyol
ngebawa,membawa
ngebayangin,membayangkan
ngebayanginnya,membayangkannya
ngebayanginya,membayangkannya
ngebel,menelpon
ngebelin,membelikan
ngebilangin,memberitau
ngeblokir,memblokir
ngebo,tidur
Ngebolang,berpetualang
ngebolehin,membolehkan
ngebom,mengebom
ngebor,mengebor
ngebosenin,membosankan
ngebunuh,membunuh
ngebut,mengebut
ngebut2,kebut-kebutan
ngebutz,mengebut
ngebutzzz,mengebut
ngecapin,mengecapi
ngece,mengejek
ngecek,mengecek
ngeces,mengecas
ngecet,mengecat
ngeclub,membuat klub
ngedadak,mendadak
ngedarin,mengedarkan
ngedate,berkencan
ngedeke,membangun
ngedekke,membangun
ngedengkur,mendengkur
ngedit,mengedit
ngedit2,mengedit-edit
ngedoain,mendoakan
ngedor,menembak
ngedp,membayar uang muka
ngedufan,pergi ke dufan
ngedukung,mendukung
ngefolow,ngefollow
ngegolin,mencetak gol
ngehalau,menghalau
ngehargai,menghargai
ngehibur,menghibur
ngehina,menghina
ngehormatin,menghormati
ngejagain,menjagakan
ngejak,mengajak
ngejalanin,menjalani
ngejamin,menjamin
ngejanjin,menjanjikan
ngejar,mengejar
ngejarnya,mengejarnya
ngejek,mengejek
ngejiplak,menjiplak
Ngejual,menjual
ngejubel,berjubel
ngekek,tertawa
ngeksis2an,eksis-eksisan
ngeladenin,meladeni
ngeladeninya,meladeninya
ngelahirin,melahirkan
ngelak,mengelak
ngelaksonin,menglakson
ngelamar,melamar
ngelamun,melamun
ngelanconk,melancong
ngelantik,melantik
ngelantur,melantur
ngelap,mengelap
ngelapak,berjualan
ngelatihnya,melatihnya
ngelawak,melucu
ngeledek,mengejek
ngelelepin,menenggelamkan
ngelepas,melepas
ngeles,membuat alasan
ngelesnya,membuat alasannya
ngelewatin,melewati
ngeliat,melihat
ngeliate,melihat
ngeliatin,memperlihatkan
ngeliatnya,melihatnya
ngelilingin,mengelilingi
ngeliput,meliput
ngelirik,melirik
ngelitik,menggelitik
ngelive,disiarkan langsung
ngelu,pusing
ngeluapin,meluapkan
ngeluarin,mengeluarkan
ngeluarinya,mengeluarkannya
ngelucu,melucu
ngeluh,mengeluh
ngelukis,melukis
ngelupain,melupakan
ngelus,mengelus
ngembalin,mengembalikan
ngembang,mengembang
ngembun,mengembun
ngemeng,ngomong
ngemeng2,ngomong-ngomong
ngemis2,mengemis-ngemis
ngemodus,membuat modus
ngemot,mengemut
ngena,mengena
ngenalin,mengenalkan
ngendap,mengendap
ngene,begini
ngeneh,begini
ngenes,mengenaskan
ngenet,internetan
ngepain,ngapain
ngepel,mengepel
ngepelin,mengepelkan
ngerakit,merakit
ngeramal,meramal
ngeramein,meramaikan
ngerampok,merampok
ngerasa,merasa
ngerasain,merasakan
ngerayain,merayakan
ngerayainnya,merayakannya
ngerayainya,merayakannya
ngerayu,merayu
ngeremehin,meremehkan
ngerencanain,merencanakan
ngerepotin,merepotkan
ngeres2,berpikiran kotor
ngeributin,meributkan
ngerintis,merintis
Ngeriset,melakukan riset
ngerix,ngerinya
ngerjain,mengerjakan
ngerokok,merokok
ngertine,yang dimengerti
ngertio,ngertikan
ngerubah,mengubah
ngerugiin,merugikan
ngerugin,merugikan
ngerusak,merusak
ngerusakin,merusakkan
ngetem,nongkrong
ngetuit,ngetweet
ngetwet,ngetweet
ngetwets,ngetweet
ngetwit,ngetweet
ngetwitnya,ngetweetnya
ngfollow,follow
ngfolow,follow
ngg,tidak
ngga,tidak
nggak,tidak
nggakk,tidak
nggakpapa,tidak apa-apa
nggakyk,tidak seperti
nggandeng,menggandeng
ngganjel,mengganjal
ngganteng,ganteng
nggarap,mengerjakan
nggash,memberi
nggawa,membawa
nggawe,membuat
nggih,iya
nggk,tidak
nggo,untuk
nggon,tempat
nggonku,tempatku
nggowes,bersepeda
nggowo,membawa
nggowo2,membawa
nggu,nunggu
nggundulinnya,menggundulinya
ngguyu,tertawa
nggy,gaya
nghirup,menghirup
ngibul,berkhayal
ngidem,ngikut
ngiderin,mengedarkan
ngigau,mengigau
ngih,iya
ngijinin,mengizinkan
ngikutin,mengikuti
ngilang,menghilang
ngilangin,menghilangkan
ngimpi,mimpi
ngimpih,mimpi
ngimpiku,mimpiku
ngincer,mengincar
ngindarin,menghindari
nginep,menginap
nginepnya,menginapnya
ngingetin,mengingatkan
nginjek,menginjak
ngintil,mengikuti
ngintip,mengintip
ngira,mengira
ngiranya,mengiranya
ngirim,mengirim
ngiris,mengiris
ngirup,menghirup
ngis,nangis
ngisi,mengisi
ngiterin,mengitari
ngitung,menghitung
ngitungin,menghitung
ngjak,mengajak
ngjak2,mengajak-ajak
ngjakin,mengajak
ngjakn,mengajak
ngjar,mengajar
ngjarin,mengajari
ngjk,mengajak
ngjkin,mengajak
ngk,tidak
ngke,nanti
ngko,nanti
ngkost,kos
ngkrong,nongkrong
ngku,mengaku
ngkut,ngikut
nglakokne,menjalankan
nglamar,melamar
nglelang,melelang
nglewatin,melewati
ngliat,melihat
ngliatin,melihat
nglumpuke,mengumpulkan
ngmg,ngomong
ngmgn,ngomongin
ngmng,ngomong
ngmngin,ngomongin
ngmngnya,ngomongnya
ngmong,ngomong
ngmongin,ngomongin
ngmpln,mengumpulkan
ngmpul,kumpul
ngmpulin,mengumpulkan
ngmuk,mengamuk
ngnggur,menganggur
ngngkat,mengangkat
ngntuk,mengantuk
ngo,untuk
ngobro,ngobrol
ngoceh,mengoceh
ngocok,mengocok
ngocol,mengocol
ngolek,mencari
ngoleksi,mengoleksi
ngomel,mengomel
ngomgn,ngomongin
ngomogin,ngomongin
ngomong2,ngomong-ngomong
ngomonge,ngomongnya
